/vout X,/vout Y,/vout1
0,0.999749679,0.148475456
0.02,0.999582336,0.142403143
0.04,0.999306839,0.136348276
0.06,0.998858052,0.130387556
0.08,0.998133604,0.124519143
0.1,0.996975527,0.118739695
0.12,0.995145078,0.113043656
0.14,0.992293013,0.107422216
0.16,0.987931766,0.101861807
0.18,0.981418647,0.09634199
0.2,0.971953697,0.090832701
0.22,0.958578037,0.085291331
0.24,0.940119724,0.079661601
0.26,0.915085923,0.073879329
0.28,0.881209096,0.067894986
0.3,0.834545118,0.061720267
0.32,0.768655808,0.055470377
0.34,0.694598879,0.049337666
0.36,0.642243773,0.043510558
0.38,0.602806371,0.038118916
0.4,0.568831206,0.033226327
0.42,0.537416335,0.028843414
0.44,0.507473066,0.024947112
0.46,0.478530437,0.021496781
0.48,0.450403353,0.018445541
0.5,0.423048381,0.015747155
0.52,0.396500211,0.013359607
0.54,0.370846084,0.011246587
0.56,0.346219623,0.009377769
0.58,0.322804618,0.007728482
0.6,0.300840687,0.006279105
0.62,0.280614161,0.005014347
0.64,0.262399065,0.003922417
0.66,0.24633718,0.002994037
0.68,0.232360178,0.002221154
0.7,0.220245601,0.001595327
0.72,0.209721323,0.001105927
0.74,0.200527423,0.000738693
0.76,0.192436945,0.000475406
0.78,0.185259682,0.000295212
0.8,0.17884069,0.000177169
0.82,0.173056488,0.000102823
0.84,0.167809811,5.77E-05
0.86,0.163023984,3.12E-05
0.88,0.158637958,1.63E-05
0.9,0.154602452,8.32E-06
0.92,0.150877128,4.21E-06
0.94,0.147428501,2.19E-06
0.96,0.144228378,1.25E-06
0.98,0.141252693,8.24E-07
1,0.138480652,6.48E-07
